class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
Shooting Knee,0.433900177,0.319153786,-0.113049366,0.999976993,0.441346645,0.303852201,-0.097787395,0.999980807,0.445958078,0.303097039,-0.097775213,0.999978065,0.449429691,0.302791566,-0.097763203,0.999972343,0.428420216,0.306051105,-0.086624756,0.999969006,0.42476663,0.306541771,-0.086631082,0.999963164,0.422118962,0.30699271,-0.08666683,0.999964714,0.457494348,0.308718562,-0.005425566,0.999974608,0.421149433,0.312856019,0.045844421,0.999958515,0.444221556,0.333052546,-0.079075038,0.999992847,0.429374605,0.334449351,-0.064692803,0.999981523,0.49602598,0.378458321,-0.00313346,0.99997437,0.404253542,0.385722041,0.076042116,0.999900341,0.500670969,0.422780186,-0.198045626,0.987310052,0.363802642,0.424212575,-0.109906711,0.996896505,0.450259686,0.384937227,-0.373654842,0.984192908,0.408990622,0.386487424,-0.289898425,0.991196156,0.437266499,0.365514368,-0.410254478,0.96151787,0.420009762,0.369544774,-0.323190242,0.960057855,0.438372314,0.359391034,-0.389837772,0.957551062,0.425764561,0.363542736,-0.291065842,0.950630546,0.441115856,0.36844492,-0.368162125,0.930394471,0.424473852,0.375157028,-0.281465769,0.927587092,0.487959296,0.558445692,-0.029979596,0.999997854,0.428778559,0.570951998,0.029944438,0.99996233,0.489625216,0.633511901,-0.420593113,0.997966945,0.433367789,0.70257318,0.069927208,0.949037492,0.504228771,0.772626519,-0.303010583,0.991989434,0.451739699,0.743160665,0.450076014,0.649789095,0.506635427,0.788899839,-0.294835269,0.817769706,0.451559782,0.742846429,0.486282647,0.46693778,0.497335345,0.832060814,-0.441503525,0.989262521,0.442369878,0.778060615,0.42658487,0.744935215
Shooting Knee,0.434712976,0.319354594,-0.109889016,0.999977589,0.44156903,0.304199666,-0.091047287,0.999981582,0.44618997,0.303365558,-0.091022365,0.99997884,0.449743271,0.303032249,-0.091028377,0.999973536,0.428919613,0.306487918,-0.083776034,0.999970019,0.42531687,0.307044238,-0.083777674,0.999964297,0.422690392,0.307530463,-0.08380641,0.999965787,0.457647234,0.308858544,0.014066266,0.999975383,0.421561092,0.313292176,0.047609519,0.999960065,0.445099264,0.333030283,-0.071685001,0.999993086,0.429923117,0.334461778,-0.061981313,0.999982119,0.496858507,0.378724009,0.022821674,0.999974549,0.403996646,0.384488136,0.055391658,0.999904692,0.498771101,0.419434428,-0.208763242,0.984521151,0.363889039,0.421811581,-0.176914766,0.996688247,0.450411469,0.385691822,-0.460363209,0.982293367,0.410791725,0.385456741,-0.387940228,0.990329504,0.437580973,0.366831809,-0.508744478,0.96012491,0.422092855,0.369451344,-0.42821312,0.958610773,0.439042419,0.361997098,-0.488181055,0.956321359,0.427870899,0.363602728,-0.402910382,0.94908911,0.442028463,0.370544791,-0.45780009,0.928702414,0.42691797,0.374519229,-0.382583648,0.925780654,0.488122523,0.558494568,-0.015798608,0.999997973,0.428336203,0.571513236,0.015655581,0.999964535,0.492604554,0.63431567,-0.417372644,0.998034537,0.433361948,0.73675698,-0.019518781,0.951817632,0.503945887,0.77265811,-0.288626522,0.992086589,0.451981634,0.73255223,0.398283839,0.623815954,0.505960584,0.787949145,-0.27795437,0.817983508,0.451551855,0.730395913,0.440838397,0.443488151,0.497365624,0.832224131,-0.415781975,0.988957524,0.452650785,0.771345556,0.399937928,0.719240308
Shooting Knee,0.434979618,0.319722235,-0.104746982,0.999977827,0.441618919,0.304676265,-0.085849859,0.999982059,0.44627136,0.303785592,-0.085821718,0.999979377,0.449929714,0.303407639,-0.085828304,0.99997431,0.429092228,0.306958467,-0.079000019,0.999970436,0.425537884,0.30755201,-0.079001784,0.999964833,0.422993183,0.308046073,-0.07903149,0.999966264,0.457786471,0.30917263,0.017670076,0.99997586,0.421826124,0.313761652,0.051089048,0.999960959,0.445406973,0.333046407,-0.066363662,0.999993145,0.430119336,0.334540665,-0.057117742,0.999982297,0.4974145,0.378977269,0.027177801,0.99997431,0.403917074,0.38395679,0.054165531,0.999907732,0.497037113,0.418792099,-0.2088985,0.981831253,0.363887697,0.419900805,-0.176560685,0.996430159,0.450089306,0.385811836,-0.454413354,0.980514169,0.412232637,0.384842902,-0.385213345,0.989268661,0.437306702,0.367301106,-0.500909448,0.958737314,0.423680544,0.369468272,-0.424132973,0.956540108,0.439008564,0.362659484,-0.480688393,0.955068827,0.429611057,0.364039451,-0.397985309,0.946786404,0.442018569,0.371269405,-0.451648623,0.926902354,0.428718328,0.374372065,-0.37943548,0.923024118,0.488328695,0.559344411,-0.011575557,0.999998093,0.428093255,0.573444009,0.011422514,0.999966562,0.494251639,0.634042799,-0.41830793,0.99811393,0.433405787,0.752046585,-0.025065919,0.954294264,0.503862381,0.772660613,-0.292559445,0.99226743,0.45229882,0.725989461,0.393000513,0.599257588,0.505600333,0.787529826,-0.280418605,0.820276201,0.452601671,0.722882807,0.435704648,0.422498465,0.497446954,0.832423449,-0.423208535,0.988926053,0.455569595,0.763584137,0.398097694,0.695710063
Shooting Knee,0.434999764,0.319950134,-0.066713184,0.999977052,0.441615105,0.30511421,-0.049611751,0.999981642,0.446269989,0.30426994,-0.049576741,0.999979019,0.449981928,0.303860605,-0.049563177,0.999973834,0.429176897,0.307271004,-0.040469915,0.999969602,0.425687224,0.307858169,-0.040492155,0.999964058,0.423226982,0.308329552,-0.040541526,0.999965787,0.457835823,0.30962503,0.045298867,0.999974549,0.422005415,0.314027339,0.087175392,0.999960005,0.445398003,0.333081752,-0.031799749,0.99999249,0.4301247,0.334593862,-0.020077527,0.999980688,0.49764365,0.379099756,0.052695464,0.999971271,0.403912872,0.383168161,0.083104327,0.999907076,0.496332258,0.42181322,-0.155317754,0.978266239,0.363037407,0.418851227,-0.138533801,0.996093512,0.449174583,0.3858096,-0.361495525,0.978013933,0.413163424,0.384598464,-0.329364359,0.987895668,0.436754763,0.367420495,-0.398627222,0.95558548,0.424560249,0.369469315,-0.362594724,0.952765644,0.438871443,0.362585515,-0.380068988,0.951928198,0.43057552,0.364343464,-0.333015889,0.94244796,0.441941828,0.371216744,-0.357682496,0.922363639,0.429638296,0.374315649,-0.321144044,0.917687058,0.488298893,0.56001693,-0.010728275,0.999998152,0.427885532,0.573960721,0.010565294,0.999968052,0.487846702,0.622037888,-0.424058259,0.998156786,0.433375746,0.746691704,-0.027442819,0.955797434,0.5029127,0.772660255,-0.320634454,0.992224693,0.452440172,0.724764109,0.383664727,0.572523654,0.503902197,0.787637889,-0.311351359,0.821403503,0.454077244,0.715444565,0.426102012,0.40167737,0.497419357,0.832598746,-0.445575804,0.988748372,0.459616601,0.761447549,0.393436015,0.670276105
Shooting Knee,0.43536979,0.320679575,-0.107268274,0.999976456,0.442037821,0.305679858,-0.088895254,0.999981344,0.446727663,0.304907233,-0.088875592,0.999978781,0.450622946,0.304543644,-0.088881806,0.999973536,0.429683536,0.307626188,-0.080807626,0.99996835,0.426202595,0.308109164,-0.080810718,0.999962866,0.423677504,0.308531284,-0.080848172,0.999964535,0.458401144,0.310306847,0.020654397,0.999973714,0.422180712,0.314352393,0.056223772,0.999958456,0.445776701,0.333807737,-0.067173764,0.99999243,0.430379778,0.335078865,-0.056721538,0.999980032,0.497995377,0.37916714,0.044386454,0.999970913,0.403375775,0.383181632,0.060143013,0.999905884,0.496307999,0.421380311,-0.205973893,0.977709651,0.362995028,0.419025004,-0.162809312,0.995969236,0.449946105,0.385277152,-0.453317314,0.978054523,0.412119806,0.383762687,-0.372042745,0.987791002,0.437906355,0.366187602,-0.496962488,0.956049025,0.422742367,0.366735488,-0.407467902,0.953033388,0.440332323,0.361072242,-0.476144969,0.952577472,0.428854614,0.362022966,-0.378632545,0.942830622,0.443276703,0.37044999,-0.449651301,0.923143506,0.429008573,0.372911632,-0.364657968,0.918121815,0.48837176,0.56108743,-0.010640029,0.999998212,0.427714914,0.574959755,0.010452959,0.999969065,0.485059351,0.621863425,-0.451278299,0.998177469,0.433305889,0.752619684,-0.039825909,0.956366181,0.502671421,0.77240479,-0.331740767,0.992040277,0.452774346,0.72673738,0.384343088,0.54337579,0.503524184,0.787322164,-0.321372598,0.821039021,0.454945803,0.716906667,0.427794695,0.381368518,0.497082561,0.83331567,-0.457984686,0.988251269,0.463278294,0.763375819,0.390036196,0.642421901
Shooting Knee,0.435708523,0.320682347,-0.129919276,0.999973178,0.442235798,0.305702358,-0.11088562,0.999979079,0.446943611,0.304918796,-0.110863462,0.999976158,0.450919002,0.30454734,-0.110880412,0.999970555,0.42996487,0.307632089,-0.104638539,0.99996388,0.426500946,0.308110982,-0.104641154,0.999957502,0.42398721,0.308530957,-0.104677245,0.999958754,0.458550274,0.310310245,-0.000731573,0.999970555,0.422413588,0.314365119,0.028259808,0.999953389,0.44612807,0.333805352,-0.089221135,0.999991894,0.430633485,0.335099667,-0.080791786,0.999978304,0.498214185,0.379174709,0.020365316,0.999969363,0.403363049,0.383099407,0.033319116,0.999905705,0.496103287,0.419680089,-0.229461551,0.976152718,0.362907946,0.418578655,-0.199580044,0.99583292,0.44955197,0.385320932,-0.478941768,0.976360559,0.412071288,0.38353619,-0.410016537,0.986894846,0.437616676,0.36592111,-0.526119828,0.954452634,0.422744036,0.366655439,-0.448737293,0.951294243,0.440316588,0.361050427,-0.503987253,0.951091409,0.428866446,0.362015039,-0.422054946,0.940915108,0.443243355,0.370552033,-0.475418478,0.920923769,0.428840697,0.372663081,-0.403948963,0.91558522,0.488365829,0.561178625,-0.00963501,0.999998271,0.427541256,0.574938357,0.00947367,0.999969721,0.484791577,0.620599031,-0.444126844,0.998211145,0.433178753,0.755116343,-0.032760363,0.957665265,0.502223432,0.773582578,-0.324483395,0.992100358,0.451597631,0.727692485,0.394557625,0.521075666,0.502929151,0.78764081,-0.315983325,0.821972668,0.454403579,0.717904389,0.437644541,0.364798754,0.496882856,0.833604038,-0.455142975,0.987946868,0.460356861,0.761644304,0.396395683,0.620024383
Shooting Knee,0.435785592,0.321780384,-0.157306463,0.999968171,0.442346394,0.306481034,-0.138481498,0.999975145,0.447038561,0.305699885,-0.138459414,0.999971628,0.451087892,0.305269033,-0.138485223,0.99996531,0.430048853,0.30851084,-0.132817447,0.999956787,0.426592737,0.308881491,-0.132816479,0.999949217,0.424105346,0.309220731,-0.132846177,0.999950111,0.458580554,0.310795516,-0.028252825,0.999965608,0.422468036,0.314913273,-0.000256094,0.999946415,0.446185589,0.3346605,-0.115962759,0.999991119,0.430646241,0.336392224,-0.108010218,0.999976218,0.498202652,0.37917766,-0.009263236,0.999967396,0.403144032,0.382924944,0.007065774,0.999906301,0.496169955,0.41809684,-0.257022798,0.97451812,0.362818986,0.418504804,-0.232875109,0.99575603,0.449146926,0.385643482,-0.509774148,0.973392606,0.412998199,0.383492798,-0.446876854,0.986021817,0.437426031,0.366178095,-0.55935204,0.951132894,0.423765898,0.366779298,-0.487773955,0.949751019,0.440261066,0.361432195,-0.536242008,0.947775424,0.429888189,0.362125546,-0.461212546,0.939168334,0.443210304,0.370888978,-0.506415725,0.916149974,0.429608673,0.372523576,-0.441101968,0.91309154,0.488370091,0.561580241,-0.008704622,0.999998331,0.42754072,0.575571418,0.008552491,0.99996984,0.484845489,0.620505989,-0.440811872,0.998259962,0.432764471,0.756102324,-0.033705212,0.95918262,0.502124488,0.773942053,-0.315839946,0.992246091,0.451583862,0.728209734,0.395693362,0.501798272,0.502792001,0.78761512,-0.304788411,0.824371219,0.454380929,0.718165934,0.439123392,0.350256771,0.496912718,0.833991706,-0.442810535,0.987766325,0.459882587,0.762670517,0.397692233,0.600137889
Shooting Knee,0.435845137,0.322183013,-0.14858754,0.999963224,0.442412674,0.306733042,-0.130481079,0.999971449,0.44710049,0.305953443,-0.130469993,0.999967456,0.451202303,0.305507034,-0.13047491,0.999960065,0.430110544,0.308831066,-0.1202548,0.999950349,0.426662534,0.309175134,-0.12024349,0.999941647,0.424176276,0.309509158,-0.120253228,0.999942601,0.458632946,0.310995221,-0.022633301,0.999958634,0.422539234,0.315263003,0.015450815,0.999937594,0.446244806,0.335074365,-0.114250444,0.999989688,0.430695593,0.337024838,-0.098628037,0.999972701,0.49821353,0.379574627,0.007615442,0.999963939,0.403142273,0.382816792,0.029175222,0.9999035,0.496236652,0.419908077,-0.221927077,0.97248739,0.362287998,0.418491215,-0.193659738,0.995584965,0.448542297,0.386289179,-0.496711433,0.971417129,0.412931293,0.383511484,-0.39655897,0.985120952,0.437095106,0.366322875,-0.544174016,0.948571861,0.423650652,0.366793275,-0.434375584,0.947517395,0.440181434,0.36162582,-0.517389297,0.945223987,0.429844469,0.361991525,-0.405858099,0.936627924,0.44312042,0.371203929,-0.492629468,0.912474453,0.429536104,0.372169226,-0.389881283,0.90985167,0.487997144,0.562004089,-0.008350643,0.999998331,0.427252918,0.576101363,0.008209166,0.99996978,0.48460412,0.617852151,-0.438798368,0.998249233,0.432610601,0.755028486,-0.025094485,0.959755123,0.501929343,0.7747944,-0.319664896,0.992151916,0.450943649,0.728387952,0.400155306,0.483402908,0.502438903,0.788128793,-0.309695095,0.824038088,0.453844368,0.717625797,0.441379964,0.337604493,0.496870667,0.834246516,-0.446258962,0.987463355,0.458864361,0.763106167,0.407246202,0.582081318
Shooting Knee,0.435911953,0.322397113,-0.140232369,0.999956667,0.442483664,0.306892425,-0.122687161,0.999966681,0.447168648,0.306107014,-0.12266878,0.999961853,0.45130834,0.305645436,-0.122677729,0.99995321,0.430181921,0.309037417,-0.114852846,0.999941945,0.426742077,0.309368461,-0.114855051,0.999931514,0.424254805,0.309700847,-0.114888847,0.999932289,0.458683193,0.311100364,-0.017053615,0.999949932,0.422627747,0.315474957,0.017607735,0.99992615,0.446313918,0.335269123,-0.1022375,0.999988198,0.430754364,0.337326199,-0.091131985,0.999968886,0.498218298,0.379808515,0.006121352,0.999960899,0.403140157,0.382674336,0.028936613,0.999900639,0.496261835,0.420608252,-0.221161202,0.970765352,0.361947834,0.418447107,-0.191763565,0.995481431,0.44822365,0.386709422,-0.465186268,0.96941489,0.41286701,0.38353011,-0.395130038,0.984375775,0.437002361,0.366390735,-0.509941697,0.94598335,0.423600823,0.36682272,-0.432796896,0.945663989,0.440117836,0.36179176,-0.487319529,0.942654252,0.429795802,0.36194092,-0.405101597,0.934536576,0.44305557,0.371463358,-0.461152315,0.908721983,0.429455847,0.371969491,-0.38831982,0.907089293,0.487739861,0.562054694,-0.008653372,0.999998331,0.427001894,0.576096833,0.008521201,0.999969125,0.484518826,0.617421091,-0.438662052,0.998213112,0.432537794,0.751013875,-0.019785022,0.959790766,0.501777947,0.774863183,-0.319322139,0.991993546,0.449479908,0.72850585,0.40785116,0.466546953,0.502180696,0.788542986,-0.309328943,0.822651446,0.452226937,0.717677772,0.452336401,0.326405823,0.496850729,0.834376931,-0.446971267,0.987029374,0.458374113,0.763434589,0.416708708,0.565629601
Shooting Knee,0.435928345,0.323030561,-0.121367179,0.99995172,0.44250983,0.307307363,-0.105071589,0.999962687,0.447187364,0.306519389,-0.105048917,0.999957681,0.451355934,0.306034178,-0.105058134,0.999947608,0.430196106,0.309528291,-0.09665598,0.999934793,0.426759571,0.309841663,-0.096668959,0.999923944,0.424282014,0.31018123,-0.096712559,0.999924898,0.458699554,0.311257422,-0.005101684,0.999943495,0.422648102,0.315797865,0.032626573,0.99991715,0.446320206,0.335809737,-0.084398434,0.999986827,0.430769145,0.338144779,-0.073221788,0.999964833,0.498236477,0.380002975,0.013220263,0.999959171,0.403183073,0.382529438,0.042264126,0.999897897,0.496543795,0.420430541,-0.203722835,0.970425665,0.361911833,0.41847679,-0.166550174,0.995194793,0.447054684,0.386737198,-0.42182979,0.968855262,0.412839979,0.384407252,-0.365894854,0.983527899,0.435422331,0.366586387,-0.461547673,0.944768667,0.42314297,0.36748895,-0.39994213,0.943616569,0.438117504,0.361821592,-0.438737303,0.941433012,0.429138571,0.362288266,-0.372219235,0.932263672,0.4413158,0.371477962,-0.416401565,0.906929791,0.429231942,0.372371137,-0.358601034,0.90429908,0.487464428,0.562672436,-0.009053846,0.999998331,0.42663008,0.576540411,0.008905488,0.999968946,0.483468771,0.615915895,-0.437873513,0.998187423,0.432266414,0.754022062,-0.035041813,0.959796846,0.501476407,0.774608493,-0.318454742,0.991732776,0.449561745,0.728712082,0.388027161,0.44906348,0.502026558,0.788532972,-0.308369666,0.820142269,0.452317715,0.717809856,0.431974739,0.314666241,0.496679008,0.834470391,-0.443012625,0.986470044,0.45810613,0.763925731,0.400209248,0.548536897
